"ID","SHIPNAME","SHIPTYPE","LONGITUDE","LATITUDE","SPEED","EQUIPMENTID"
1755071,"嵊渔养70465","",122.774851,30.704519,0,"850256553305287"
1755072,"闽东渔运60663","",117.51266666666668,23.74741666666667,0.1,"963519"
1755073,"嵊渔养70720","",122.757287,30.716037,0,"850256553305690"
1755074,"嵊渔养70081","",122.772596,30.718984,0,"850256553305444"
1755077,"嵊渔养70225","",122.757285,30.715475,0,"850256553305693"
1755078,"嵊渔养70538","",122.773722,30.704584,0,"850256553305998"
1755079,"嵊渔养70195","",122.75757,30.715221,0,"850256553305285"
1755080,"嵊渔养70017","",122.756102,30.715441,0,"850256553305689"
1755081,"嵊渔养70726","",122.768963,30.707012,0,"850256553305870"
851157,"浙普渔休40056","",122.36516666666667,29.894361111111113,0.1,"360613"
857008,"浙普渔61168","",122.21961111111112,30.225972222222218,0,"365552"
1755671,"嵊渔养70419","",122.766862,30.715467,0,"850256553305373"
1755554,"枸渔钓7279","",122.767055,30.715558,0,"850256553305308"
1755700,"嵊渔养70388","",122.762756,30.711739,0,"850256553305358"
1755683,"嵊渔养70599","",122.769028,30.722547,0,"850256553305316"
1755712,"枸渔钓7248","",122.76275,30.711716,0,"850256553305365"
1755714,"枸渔钓7235","",122.767348,30.709305,0,"850256553305367"
1755715,"浙普渔41368","",123.29847222222222,29.747972222222224,7.5,"964052"
1755716,"枸渔钓7232","",122.768163,30.710741,0,"850256553305355"
1755718,"枸渔钓7267","",122.779882,30.71272,0,"850256553305359"
1753903,"闽东渔64856","",117.69186111111112,22.69163888888889,2.7,"962302"
1754759,"浙三渔08698","2",121.69197222222222,28.91827777777778,0,"945747"
1773924,"闽霞渔09925","",123.03344444444444,31.188916666666668,8.8,"963912"
1773925,"闽霞渔09967","",123.822,31.504444444444445,3.5,"963880"
1773929,"闽霞渔09907","",121.59683333333334,28.488805555555558,0.2,"963903"
1773930,"闽霞渔09929","",121.98036111111112,26.924333333333333,3.5,"963866"
1754012,"闽霞渔01083","",127.35630555555555,29.42877777777778,0.5,"945409"
1753812,"闽东渔61152","",117.85286111111111,23.647666666666666,3.7,"963417"
1754276,"闽东渔61259","",117.72497222222222,23.58405555555555,3.1,"963434"
1754159,"闽东渔61268","",118.24308333333333,22.926222222222222,1,"945641"
1754377,"闽东渔69566","",117.68388888888889,23.335944444444443,2.6,"962867"
1753288,"浙三渔休80008","",121.62883333333332,29.041694444444445,0.2,"945787"
1753290,"闽霞渔01033","",123.10116666666667,28.367583333333332,8,"945585"
1753292,"闽东渔69198","",117.12733333333333,23.00688888888889,3.4,"963503"
1753293,"浙三渔01425","2",121.41944444444445,29.109833333333334,0,"962120"
1753294,"浙三渔08598","2",121.69325,28.913833333333333,0.1,"945797"
1753295,"闽霞渔04166","",120.20450000000001,25.16186111111111,10,"964305"
1753296,"闽霞渔运02218","",120.04938888888888,26.503999999999998,0,"962555"
1753297,"闽东渔62602","",118.18016666666668,23.11625,7.7,"945597"
1753298,"闽东渔64720","",109.08608333333332,21.482027777777777,0,"962487"
1753300,"浙三渔04373","1",121.56588888888889,29.10088888888889,0.6,"945784"
1753301,"浙三渔05588","2",121.62269444444443,29.106166666666667,0.1,"945772"
1753302,"浙三渔休80004","",121.62344444444443,29.04130555555556,0,"945716"
1753304,"闽霞渔运01181","",121.92286111111112,27.228055555555553,0.8,"945303"
1753305,"闽东渔64190","",117.43002777777778,23.596611111111113,0,"963447"
1753307,"浙三渔05787","2",121.62130555555555,29.10586111111111,0,"945646"
1753308,"浙嵊渔62388","",122.44752777777778,30.697555555555557,0,"945904"
1753309,"浙三渔运80539","1",121.53163888888888,29.105555555555558,0,"945792"
1753314,"闽东渔61173","",117.83425,23.693083333333334,3,"962674"
1753315,"浙三渔08868","2",121.61311111111111,29.04211111111111,0,"945983"
1753317,"浙三渔05691","2",121.68233333333333,28.799500000000002,0,"945996"
1753908,"闽东渔63196","",117.66366666666669,23.48186111111111,4,"945285"
1753909,"浙普渔70018","",124.93272222222222,30.388083333333334,2.7,"945198"
1753910,"闽东渔63389","",117.45752777777777,23.65694444444444,0,"945612"
1753911,"闽诏渔60636","",117.36847222222221,23.573,0,"963992"
1753912,"闽东渔61778","",118.11855555555555,22.36588888888889,0.4,"945330"
1753913,"闽东渔61701","",117.5165,23.748916666666666,0,"945229"
1753914,"闽霞渔09995","",122.36377777777778,27.792222222222225,3.4,"945412"
1753915,"闽东渔64524","",117.36755555555555,23.578694444444444,0,"963399"
1753917,"闽东渔61685","",118.70661111111112,23.240305555555555,4.5,"963055"
1753920,"闽东渔64746","",118.00763888888888,22.927027777777777,4.4,"963253"
1753921,"闽东渔61756","",117.36472222222221,23.014527777777776,4,"962897"
1753922,"闽东渔69572","",117.42908333333334,23.59680555555555,0.1,"964189"
1753923,"闽宁渔运08366","",119.80227777777777,26.663166666666665,0.1,"963181"
1753926,"浙三渔养80001","",121.61230555555555,29.042194444444448,0,"946045"
1753932,"闽莆渔51988","",119.03747222222222,25.12113888888889,0,"945406"
1753934,"闽东渔64539","",117.67052777777778,22.78816666666667,4,"962466"
1753935,"闽霞渔01959","",122.84902777777776,27.006027777777778,2.6,"963349"
1753936,"闽东渔62508","",118.27966666666666,22.638055555555557,0.9,"945207"
1753937,"闽霞渔01928","",120.89827777777778,27.09872222222222,7,"945481"
1753938,"闽霞渔油00907","",120.19475,27.247083333333332,0,"963110"
1753939,"闽东渔62228","",118.31649999999999,23.333555555555556,2.4,"964282"
669577,"浙普渔运18607","",123.13283333333334,29.511083333333335,0.6,"964398"
862840,"浙普渔31392","",122.7983888888889,30.70836111111111,0.2,"3935130"
1753122,"闽东渔65079","",117.68655555555557,23.229944444444445,3.1,"963774"
1753123,"闽霞渔运08388","",121.87430555555554,28.93091666666667,8.2,"962377"
1753135,"闽莆渔51555","",119.14566666666667,25.127555555555556,0,"945463"
1753137,"闽东渔63316","",117.61866666666667,23.363722222222222,3.2,"962598"
1753144,"闽莆渔48688","",119.26547222222223,25.17852777777778,0,"962587"
1753599,"闽东渔64122","",117.42880555555556,23.596583333333335,0,"963462"
1753600,"闽东渔61366","",118.31283333333333,23.227777777777778,0.7,"963403"
1753601,"浙三渔05162","1",121.62280555555554,29.10622222222222,0,"945923"
1753633,"浙三渔05615","2",121.62263888888887,29.105888888888888,0,"945722"
1753811,"浙三渔04011","",121.62719444444443,29.041555555555554,0.1,"945936"
1753947,"闽东渔69573","",117.42841666666668,23.596944444444443,0.1,"963111"
1753949,"闽霞渔01316","",125.02963888888888,27.824055555555553,2.8,"963158"
1753950,"闽东渔64735","",117.36841666666666,23.572972222222223,0.3,"963761"
1753281,"浙三渔05389","1",121.62666666666667,29.042083333333334,0.1,"945937"
1753282,"闽霞渔08385","",122.44608333333333,30.744388888888892,0,"962727"
1753284,"闽东渔64808","",117.71966666666667,23.234305555555554,6.6,"964005"
1753285,"浙三渔08298","2",121.71880555555556,28.939055555555555,0,"945809"
1753320,"浙三渔09009","2",121.40144444444445,28.23466666666667,0,"945973"
1753346,"闽莆渔21868","",119.14494444444445,25.125999999999998,0,"962626"
1753347,"闽东渔65075","",117.34652777777777,23.20577777777778,3.9,"962480"
1753357,"闽东渔64957","",117.36152777777777,23.578861111111113,0.4,"945298"
1753358,"浙三渔07131","2",121.8286111111111,28.95294444444444,6.8,"945663"
1753359,"浙三渔05386","1",121.61308333333332,29.042194444444448,0,"945889"
1753362,"闽东渔61222","",116.32988888888889,22.945555555555554,0,"945175"
